pool,name,cost,attack,hp,class,tribe,official_effect_text_from_cards_json,official_url,official_reference_status,v230_static_status,name_in_app_js,tracked_in_implemented_reports,mechanics_detected,risk_priority,recommended_next_action
cost2_unit_random_pool,くらやみハーピー,2,2,2,共通,なし,召喚時：ユニット1体のHPを攻撃力と同じ値にする,https://gameconductor.com/dqrivals/c/d/1027,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|target_modal,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,しにがみ,2,1,2,共通,ゾンビ,2回攻撃,https://gameconductor.com/dqrivals/c/d/45,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,basic_keyword,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,しびれだんびら,2,3,2,盗賊,なし,召喚時:味方リーダーが装備中の武器に耐久力+1と「攻撃した敵ユニットを次のターン終了時まで攻撃不能にする」を付与する,https://gameconductor.com/dqrivals/c/d/1313,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|turn_end,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,しましまキャット,2,2,2,商人,なし,召喚時&死亡時：しあわせのたね1枚を手札に加える,https://gameconductor.com/dqrivals/c/d/1522,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|death|hand,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。
cost2_unit_random_pool,しりょうのきし,2,2,3,共通,ゾンビ,召喚時：敵リーダーが装備中の武器を-1/-1,https://gameconductor.com/dqrivals/c/d/1458,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,しんぴのよろい,2,0,0,僧侶,なし,この対戦の間味方リーダーは「自分のターン終了時味方リーダーのHPを2回復する」を得る,https://gameconductor.com/dqrivals/c/d/1154,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,turn_end,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,じごくのハサミ,2,3,2,戦士,なし,絶好調、このユニットが絶好調状態なら相手のターン中このユニットが受けるダメージは1になる。,https://gameconductor.com/dqrivals/c/d/867,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,zekkocho,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,じんめんじゅ,2,1,4,共通,なし,自分のターン終了時このユニットのHPを1回復,https://gameconductor.com/dqrivals/c/d/46,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,turn_end,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,たけやりへい,2,2,2,共通,なし,召喚時：このターン中ユニット1体の攻撃力+2,https://gameconductor.com/dqrivals/c/d/51,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|target_modal,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,たんすミミック,2,2,2,商人,なし,召喚時：このカード以外の自分の手札が6枚以上ある場合敵ユニット1体をコストが1低いランダムなユニットに変身させる。,https://gameconductor.com/dqrivals/c/d/1523,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|transform|target_modal|random|cost_change|hand,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,だんごスライム,2,2,1,魔法使い,スライム,召喚時：カードを2枚引く。その後手札を2枚捨てる,https://gameconductor.com/dqrivals/c/d/611,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|draw|hand,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,つむりんママ,2,1,4,共通,スライム,このユニットを除くスライム系の味方ユニットの攻撃力+1,https://gameconductor.com/dqrivals/c/d/1173,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,とうろうへい,2,3,1,戦士,なし,召喚時：このターン中味方リーダーの攻撃力+1,https://gameconductor.com/dqrivals/c/d/169,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|leader_attack,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,とさかヘビ,2,2,2,共通,ドラゴン,召喚時：自分のデッキの上からカード4枚を見る。ドラゴン系のカードを1枚選びそれを引く。残りをデッキの下に戻す。,,official_detail_url_missing,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|deck_top,A_OFFICIAL_URL_MISSING,公式DB詳細URLの再取得が先。名前検索で公式IDを確認してから実装照合。
cost2_unit_random_pool,とつげきこぞう,2,3,4,共通,なし,正面に敵ユニットが1体もいない場合攻撃できない。,https://gameconductor.com/dqrivals/c/d/538,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,とらおとこ,2,3,2,共通,なし,召喚時:地形マスに召喚された場合+1/+1,https://gameconductor.com/dqrivals/c/d/509,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|terrain,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。
cost2_unit_random_pool,どくどくゾンビ,2,3,2,共通,ゾンビ,召喚時：ゾンビ系の味方ユニット1体を+1/+1,https://gameconductor.com/dqrivals/c/d/602,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|target_modal,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,どくやずきん,2,2,3,魔剣士,なし,相手がデッキからカードを手札に加える度的リーダーに1ダメージ,https://gameconductor.com/dqrivals/c/d/531,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,deck_search|hand,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,どくろあらい,2,0,0,武闘家,なし,攻撃対象が敵リーダーの場合このターン中攻撃力+2,https://gameconductor.com/dqrivals/c/d/235,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,どくイモムシ,2,2,1,共通,なし,死亡時：ランダムな敵ユニット1体を毒にする,https://gameconductor.com/dqrivals/c/d/57,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,death|target_modal|random,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,どんぐりベビー,2,2,3,僧侶,なし,味方リーダーのHPが回復する度カードを1枚引く,https://gameconductor.com/dqrivals/c/d/265,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,heal_trigger|draw,C_COMPLEX_BUT_HAS_EVIDENCE,実装証跡あり。ただし複合効果なので実機/ソロテストで再確認。
cost2_unit_random_pool,はえおとこ,2,3,3,共通,なし,死亡時：相手リーダーのテンション+1,https://gameconductor.com/dqrivals/c/d/380,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,death,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,はなカワセミ,2,2,3,共通,なし,パワフルバッジ：スライム系のユニットカードを使う度味方リーダーのHPを1回復,https://gameconductor.com/dqrivals/c/d/577,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,powerful_badge,A_COMPLEX_NAME_ONLY,常在/バッジ再計算、後出し反映、場を離れた時の解除を確認。
cost2_unit_random_pool,はねスライム,2,2,3,武闘家,スライム,召喚時：スライム系の味方ユニット1体手札に戻す。 その後2回攻撃を得る。,https://gameconductor.com/dqrivals/c/d/656,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|target_modal|hand|basic_keyword,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,ひとくいサーベル,2,3,2,戦士,なし,味方リーダーの攻撃で敵ユニットを倒す度敵リーダーに1ダメージ,https://gameconductor.com/dqrivals/c/d/174,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,leader_attack,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,ひとつめピエロ,2,0,4,魔法使い,なし,テンションリンク：ランダムな敵ユニット1体に1ダメージ,https://gameconductor.com/dqrivals/c/d/207,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,tension_link|target_modal|random,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,ぷちメタル,2,1,2,商人,スライム,メタルボディ、BET:1ターンに1回のみ攻撃力+1と速攻を得る、自分のターン終了時GET(1)、この効果は一度しか発動しない,https://gameconductor.com/dqrivals/c/d/1200,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,bet|get|turn_end|basic_keyword,A_COMPLEX_NAME_ONLY,GET/BET入口、1ターン1回制限、累積カウント、コイン消費時誘発を確認。
cost2_unit_random_pool,ほしふるうでわ,2,0,0,武闘家,なし,ユニット1体に「攻撃力が4以下の間速攻と2回攻撃を得る」を付与する,https://gameconductor.com/dqrivals/c/d/1151,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,target_modal|basic_keyword,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,まおうのかめん,2,2,3,共通,なし,このカードは場と手札にある間魔王系としても扱う。 召喚時:自分の手札に魔王系カードがあるならステルスを得る,https://gameconductor.com/dqrivals/c/d/1459,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|hand|basic_keyword,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。
cost2_unit_random_pool,まおうのたまご,2,2,1,共通,スライム,死亡時：自分のデッキから本来のコストが5以上の魔王系のユニットカードをランダムに1枚手札に加える,https://gameconductor.com/dqrivals/c/d/1030,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,death|random|deck_search|cost_change|hand,A_COMPLEX_NAME_ONLY,死亡時のみ。消滅/変身/手札戻しでは発動しないことを確認。
cost2_unit_random_pool,まじゅつし,2,2,2,魔法使い,なし,死亡時:死亡したマスの地形を魔法陣に変える。この効果で地形の上書きはできない。,https://gameconductor.com/dqrivals/c/d/499,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,death|terrain,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,まじょ,2,3,2,魔法使い,なし,選択：・魔法使いの特技カードをランダムに1枚手札に加える・魔力の息吹を1枚手札に加える,https://gameconductor.com/dqrivals/c/d/1492,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,choose|random|hand,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,まどうし,2,1,4,魔法使い,なし,攻撃時：このターン中特技ダメージ+1を得る,https://gameconductor.com/dqrivals/c/d/990,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,attack,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,まものつかい,2,3,1,共通,なし,死亡時:自分のデッキからパワフルバッジを持つユニットを1枚引く,https://gameconductor.com/dqrivals/c/d/598,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,death|powerful_badge|deck_search,C_COMPLEX_BUT_HAS_EVIDENCE,実装証跡あり。ただし複合効果なので実機/ソロテストで再確認。
cost2_unit_random_pool,みみずん,2,2,3,共通,なし,召喚時：味方建物1つを手札に戻す,https://gameconductor.com/dqrivals/c/d/1330,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|hand|building,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,むつでエビ,2,2,3,共通,なし,召喚時:相手の手札が3枚以下の場合HP+1とにおうだちを得る,https://gameconductor.com/dqrivals/c/d/424,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|hand|basic_keyword,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。
cost2_unit_random_pool,ももんじゃ,2,2,2,共通,なし,召喚時：敵ユニット１体につきHP+1,https://gameconductor.com/dqrivals/c/d/58,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,もりもりベス,2,2,3,武闘家,スライム,れんけい：味方の1マスを選択し、2/1のスライムベスを1体出す。,https://gameconductor.com/dqrivals/c/d/1266,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,renkei|choose|put_into_play,A_COMPLEX_NAME_ONLY,テンション3条件のみ・テンション非消費・対象/場に出す/召喚時不発を確認。
cost2_unit_random_pool,やみのとうぞく,2,3,1,盗賊,なし,召喚時:相手のデッキのランダムなカードと同じカード1枚を手札に加える,https://gameconductor.com/dqrivals/c/d/1427,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|random|hand,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。
cost2_unit_random_pool,よるのていおう,2,2,2,共通,なし,テンションリンク：後列にいるランダムな敵ユニット1体を前列のランダムな空きマスに移動させる,https://gameconductor.com/dqrivals/c/d/62,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,tension_link|position|target_modal|random,A_COMPLEX_NAME_ONLY,公式文面どおり個別実装の有無を確認。
cost2_unit_random_pool,わたぼう,2,2,2,共通,なし,ターンを終了したプレイヤーはカードを1枚引く,https://gameconductor.com/dqrivals/c/d/145,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,draw,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,わらいぶくろ,2,1,2,共通,なし,召喚時：カードを1枚引く,https://gameconductor.com/dqrivals/c/d/20,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|draw,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,アルゴリザード,2,1,2,戦士,ドラゴン,速攻、れんけい：敵ユニット1体に2ダメージ,https://gameconductor.com/dqrivals/c/d/1246,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,renkei|target_modal|basic_keyword,A_COMPLEX_NAME_ONLY,テンション3条件のみ・テンション非消費・対象/場に出す/召喚時不発を確認。
cost2_unit_random_pool,アロードッグ,2,3,1,商人,なし,召喚時：このカード以外の自分の手札が6枚以上ある場合敵1体に2ダメージ,https://gameconductor.com/dqrivals/c/d/443,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|hand,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,イエローシックル,2,1,4,共通,なし,正面にいるユニットと戦闘をする場合このターン中攻撃力+2,https://gameconductor.com/dqrivals/c/d/61,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,イノブタマン,2,2,2,共通,なし,召喚時：このターン中味方ユニット1体に攻撃力+3と「敵リーダーを攻撃できない」を付与する,https://gameconductor.com/dqrivals/c/d/973,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|target_modal,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,インプ,2,2,3,占い師,なし,召喚時：GET(1)。BET：デッキの一番上が偶数コストなら敵リーダーに2ダメージ。このユニットへのBETは1ターン1回,https://gameconductor.com/dqrivals/c/d/1162,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|bet|get|cost_change,A_COMPLEX_NAME_ONLY,GET/BET入口、1ターン1回制限、累積カウント、コイン消費時誘発を確認。
