name,status,text
メーダクイン,implemented_or_generic,お互いの手札にある本来のコストが0の特技カードのコスト+1
フォレストマスター,implemented_or_generic,召喚時：味方ヒーローがいない場合このターン中、次に使用する英雄カードのコスト-3。味方ヒーローがいる場合+1/+1
テールイーター,implemented_or_generic,召喚時:このユニットにさくせんを出す
ジゴック,implemented_or_generic,におうだち、召喚時：味方建物１つの耐久値+1、そうした場合攻撃力+1を得る
イザヤール,implemented_or_generic,召喚時：全ての味方冒険者に作戦を出す
アルゴングレート,implemented_or_generic,正面に敵ユニットがいる場合攻撃できない
ひぐらしそう,implemented_or_generic,選択：・コスト1のランダムなユニットカードを手札に1枚加える・コスト3のランダムな特技カードを手札に1枚加える
ぼうれい剣士,implemented_or_generic,死亡時：前後にいる味方ユニットの攻撃力+2
ブラウニー,implemented_or_generic,味方リーダーの攻撃で敵ユニットを倒す度攻撃力+2
おにこぞう,implemented_or_generic,自分のターン開始時このユニットが前列にいる場合7/7おにこんぼうに変身する
アイアンクック,implemented_or_generic,召喚時：次の自分のターン開始時まで味方リーダーが受けるダメージ-1 スキルブースト:受けるダメージ-1
ガスト,implemented_or_generic,パワフルバッジ：ゾンビ系の味方ユニットのHP+1
パプリカン,implemented_or_generic,召喚時：味方ヒーローがいる場合装備中の武器を+1/+1
ケムケムベス,implemented_or_generic,絶好調、このユニットは絶好調状態ではない場合攻撃できない
ウパソルジャー,implemented_or_generic,絶好調、絶好調状態の味方ユニットが攻撃する度このターン中味方リーダーは攻撃力+1を得る
ナイトリッチ,implemented_or_generic,召喚時：自分の手札に魔王系カードがあるなら他の全てのユニットに2ダメージ
ファイアボール,implemented_or_generic,召喚時：GET(1)。BET：このターン中、味方リーダーが受けるダメージ-5。
ナイトキング,implemented_or_generic,におうだち、れんけい：味方リーダーのHPを4回復
いなずまビリー,implemented_or_generic,召喚時：このユニットの攻撃力とにおうだちを持つ敵ユニット1体を死亡させる。スキルブースト:攻撃力+1
メルビン,implemented_or_generic,貫通、死亡時：ホットストーンに封じられ召喚者の山札の上から3番目にホットストーンが配置される
テラノザース,implemented_or_generic,召喚時:自分のデッキに特技カードがないならカードを1枚引く
魔王の書,implemented_or_generic,におうだち、召喚時：このターン中次に召喚する本来のコストが5以上の魔王系カードのコスト-3
げんじゅつし,implemented_or_generic,特技ダメージ+1
フロストギズモ,implemented_or_generic,召喚時：指定の敵マスに氷塊を1つ出す
ウィッチレディ,implemented_or_generic,自分が特技を使って敵ユニットを倒す度味方リーダーのテンション+1
ベビーマジシャン,implemented_or_generic,死亡時:魔法陣にいる場合カードを2枚引く
てつのさそり,implemented_or_generic,パワフルバッジ：スライム系の味方ユニットのHP+1
スライムツリー,implemented_or_generic,召喚時：敵ユニット1体に「受けるダメージ2倍」を付与する
ミニデーモン,implemented_or_generic,召喚時：味方ヒーローがいる場合自分のデッキからコスト2の特技カードをランダムに1枚引く
ビッグモアイ,implemented_or_generic,召喚時：自分の手札に魔王系カードがあるならHP+3とにおうだちを得る
ぶちスライム,implemented_or_generic,召喚時：GET(1)。BET：攻撃力+1。死亡時：このユニットの攻撃力分、1/1のスライムを出す
スライムタール,implemented_or_generic,れんけい：次の1回のみ味方リーダーのテンションスキルはリーダーを対象にできずダメージ+2
アイスゴーレム,implemented_or_generic,召喚時：自分のデッキにメラ系の特技カードが無いならランダムな敵の空きマスに0/3の氷塊を2つ出す
グリムン,implemented_or_generic,召喚時：このターン中次に使う建物カードのコスト-2
踊り子マーニャ,implemented_or_generic,テンションリンク：自分のデッキの一番上のカードがユニットカード以外ならそのカードを引きコスト-1、ユニットカードならデッキの下に戻す
残響のようじゅつし,implemented_or_generic,召喚時：耐戦中に自分が使った特技カード1枚を手札に加える。自分の手札にある対戦中に自分が使用した特技カードと同じカードのコスト-1
デンタザウルス,implemented_or_generic,におうだち、召喚時：手札にコスト3以上の特技カードがあるならHP+2
ジャミ&ゴンズ,implemented_or_generic,選択：・HP-2 カードを1枚引く、敵リーダーに2ダメージ・攻撃力-2 におうだちを得る、味方リーダーのテンション+1
ぬすっとウサギ,implemented_or_generic,攻撃対象が敵リーダーの場合カードを1枚引く
さそりばち,implemented_or_generic,速攻、自分がコスト1以下の手札を使う度このターン中攻撃力+1
だいおうキッズ,implemented_or_generic,召喚時：次のターン相手はユニットを後列に召喚できない。
ふくめんバニー,implemented_or_generic,攻撃対象が敵リーダーの場合武術カード1枚を手札に加える
しのどれい,implemented_or_generic,召喚時:このユニットがいる横一列の後列マスの地形を全てすべる床に変える。 この効果は地形の上書きはできない。
ゲルダ,implemented_or_generic,ステルス、正面にいる敵ユニットからダメージを受けない。攻撃時:攻撃対象が敵ユニットの場合その正面に移動する。
イエティ,implemented_or_generic,自分がコスト1以下の手札を使う度攻撃力+1
神官クリフト,implemented_or_generic,召喚時：味方1体のHPを3回復した後「次の相手のターン終了時まで受けるダメージ-2」を付与する
ストロングアニマル,implemented_or_generic,召喚時：味方ユニット1体を手札に戻す。それが冒険者ならさらにコストを-2する。
ゴルゴンゾーラ,implemented_or_generic,召喚時：GET(1)。BET：このユニット自身のHPを3回復する。
シルバーベア,implemented_or_generic,れんけい：このターン中速攻と「敵リーダーを攻撃できない」を得る。スキルブースト:攻撃力+1
魅惑のマルティナ,implemented_or_generic,れんけい：後列にいる全ての敵ユニットを前列に移動させる。スキルリンク：合計7ダメージを敵前列のランダムなマスに振り分ける。
メタッツ,implemented_or_generic,メタルボディ、速攻、召喚時：味方建物があるならこのユニットにさくせんを出す
ケミカルゼリー,implemented_or_generic,召喚時：敵ユニット1体に2ダメージ、そのユニットが前列にいる場合代わりに4ダメージ
ミステリピラー,implemented_or_generic,召喚時：自分のデッキからコスト1以下のカードを1枚引く
グレムリン,implemented_or_generic,味方が回復する度攻撃力+1
キャタピラー,implemented_or_generic,召喚時：味方ユニット1体のHP+2
グレンデル,implemented_or_generic,におうだち　召喚時:味方リーダーのテンションを1消費する。消費した後+1/+1を得る。
ましょうぐも,implemented_or_generic,すべての敵は回復の効果で代わりにダメージを受ける
ダックスビル,implemented_or_generic,パワフルバッジ：ドラゴン系の味方ユニットのHP+1
スーパーテンツク,implemented_or_generic,召喚時:味方ヒーローがいる場合自分のデッキから武器カードまたは必殺技を持つカードを手札に加える。
マッドオックス,implemented_or_generic,召喚時：正面にいるランダムな敵ユニット1体に１ダメージを与える。スキルブースト:+1ダメージ
フォズ大神官,implemented_or_generic,自分のターン終了時味方リーダーのテンションスキルを別の職業のものに変更しテンション+2
ヤンガス,implemented_or_generic,自分のターン終了時残りMPを全て消費する。消費したMPが1以上の場合その数と同じコストのランダムユニットを1体出す。
パールスライム,implemented_or_generic,召喚時：味方ユニット1体のHP+2、それが冒険者ならさらにカードを1枚引く
クラウンヘッド,implemented_or_generic,におうだち。召喚時：GET(1)。BET：HP+1、次の相手のターン終了時まで受けるダメージ-1。このユニットへのBETは1ターン1回
豊作のじんめんじゅ,implemented_or_generic,ステルス、自分のターン終了時1/1のガップリンを1体出す。このユニットは1ダメージを受ける
マージリンリン,implemented_or_generic,れんけい：におうだち1/3のフーセンドラゴンを1体出す
いしにんぎょう,implemented_or_generic,前列召喚時：ユニット1体のHP+2、後列召喚時:ユニット1体の攻撃力をHPと同じ値にする
いどまじん,implemented_or_generic,におうだち、相手のターン中このユニットがダメージを受ける度、ターン終了時までステルスを得る。召喚時：対戦中に味方建物が3つ以上出ていたら+2/+2
運命の天使ラヴィエル,implemented_or_generic,前列召喚時：自分のデッキからコスト1以下のユニットを1体出す。後列召喚時：+2/+2相手の手札から相手の場にランダムなユニットを1体出す
じめじめバブル,implemented_or_generic,召喚時：敵ユニットが2体以上いるなら敵ユニット1体の攻撃力-1
ザバン,implemented_or_generic,召喚時：道具カードを手札に1枚加える
マジカルハット,implemented_or_generic,他の味方ユニットに自分が特技を使う度その特技と同じ効果がこのユニットに対しても発動する。
リッカ,implemented_or_generic,味方ユニットが場に出る度カードを1枚引く
シーメーダ,implemented_or_generic,おうえん、このユニットに自分が特技を使う度味方リーダーのHPを1回復
ベンガルクーン,implemented_or_generic,召喚時:宝箱に召喚された場合、宝箱から4/4のミミックがあらわれる。
からくりエッグ,implemented_or_generic,パワフルバッジ：メタルボディもしくはハードメタルボディを持つ味方ユニットと武器の攻撃力+1
デスパロット,implemented_or_generic,味方ヒーローのヒーロースキルが発動した後道具カード2枚を手札に加える
ネネ,implemented_or_generic,召喚時：この対戦中「お宝発見」で手に入る道具カードの数+2枚
おばけねずみ,implemented_or_generic,自分のターン終了時1/1のやまねずみを1体出す
ルドマン,implemented_or_generic,召喚時：GET(1)。BET：道具カードを1枚手札に加える。味方のBETが4回発動する度に、手札/山札からコスト3以下のユニット1体を場に出す。
ドラゴメタル,implemented_or_generic,メタルボディ
シーライオン,implemented_or_generic,におうだち、自分のターン終了時このユニットのHPを2回復
亡国の先王ロウ,implemented_or_generic,れんけい：使用コスト1以上の特技カード2枚を手札に加える。自分がコスト1以上の特技を使用した後、同じコストのランダムなユニットを1体場に出す。
マペットマン,implemented_or_generic,召喚時：味方ユニット1体にさくせんを出す
おおねずみ,implemented_or_generic,死亡時：1/1のやまねずみを2体出す。対戦中に味方建物が3つ以上出ていたら代わりに2/2のやまねずみを2体出す
怪獣プスゴン,implemented_or_generic,召喚時：指定の敵の空きマスにイチゴ爆弾を1つ出す。死亡時：正面のランダムな敵の空きマスにイチゴ爆弾を1つ出す
ツボック,implemented_or_generic,死亡時：自分のデッキに特技カードが無いなら味方リーダーのテンション+2
支援のかれくさネズミ,implemented_or_generic,召喚時:味方リーダーが武器を装備していない場合+1/+1 味方リーダーにおどる宝石のそろばんを装備する 武器を装備している場合はぐれメタルを1体出す
びっくりサタン,implemented_or_generic,自分の占いで(1)の効果が発動する度カードを1枚引く
ケセランパセラン,implemented_or_generic,自分の占いで(1)の効果が発動する度味方リーダーのHPを2回復
インキュバス,implemented_or_generic,召喚時：デッキの一番上のカードのコストが奇数なら+1/+1、偶数なら-1/-1
シャイニング,implemented_or_generic,召喚時：自分が次に使用する占いカードは発動する効果を選べるようになる。
ロウ,implemented_or_generic,テンションリンク:味方リーダーのテンションの数と同じ効果が発動する。①カードを1枚引く②ランダムな敵1体に2ダメージ、3コストのユニット1体を出す
オーガー,implemented_or_generic,天啓の神域の効果によってデッキから手札にこのカードが加わった場合、ランダムな敵ユニットに3ダメージ
バルンバ,implemented_or_generic,パワフルバッジ：ドラゴン系の味方ユニットはにおうだちを得る
ビッグフェイス,implemented_or_generic,におうだち
ポムポムボム,implemented_or_generic,占いカードを使う度速攻1/1のバブリンを出す
なぞの神官,implemented_or_generic,味方ヒーローがいる場合占いカードのコスト-1
ブルホーク,implemented_or_generic,占い:①自分のデッキから占いカードを1枚手札に加える ② 味方リーダーのテンション+2
コンジャラー,implemented_or_generic,味方リーダーは超必中モードになる
いばらドラゴン,no_effect,効果なし
のろいのランプ,implemented_or_generic,絶好調、占いを持つ特技カードを使った後このユニットが絶好調状態なら同じカードを手札に加える。その後絶好調状態ではなくなる。
ネーレウス,implemented_or_generic,味方ユニットが場に出た後そのユニットの攻撃力+1、それが冒険者なら代わりに+1/+1
たまねぎマン,implemented_or_generic,占い：①ユニット1体の攻撃力を2にする②：ユニット1体のHPを2にする
セージももんじゃ,implemented_or_generic,召喚時:自分のデッキの一番上のカードのコストが偶数なら合計3ダメージをランダムな敵ユニットに割り振る
ロミア,implemented_or_generic,召喚時:自分のデッキの上から2枚を表、もう2枚を裏にしてどちらか一方を選ぶ。選んだカードを全て引き、残りを捨てる
スピニー,implemented_or_generic,召喚時：貫通、1/2のメラリザードを1体出す。自分のデッキの一番上のカードのコストが3以上ならそのメラリザードに攻撃力+1とにおうだちを付与する
フウラ,implemented_or_generic,召喚時：自分の手札を全てデッキのランダムな位置に戻す。戻した枚数に+1した数分カードを引く
ビッグボック,implemented_or_generic,占い:(1)味方リーダーのテンション+1、このユニットのHP+1、(2)味方リーダーのテンション+2
デザートデーモン,implemented_or_generic,召喚時:合計3ダメージをこのユニット以外のランダムなユニットに割り振る
フォステイル,implemented_or_generic,おうえん、自分のターン開始時ランダムな占いを持つカード1枚を手札に加える。そのカードのコスト-1。スキルリンク：1ターン先の未来へ旅立つ
うずしおキング,implemented_or_generic,におうだち。れんけい：自分の山札の上から4枚を見て、れんけいを持つカードを1枚選び引く。
ウィッチネイル,implemented_or_generic,ダメージを与えたユニットを死亡させる
アルケミストン,implemented_or_generic,攻撃時：このターン中MPが1増える
つかいま,implemented_or_generic,死亡時：最大MPが1増える
デビルウィザード,implemented_or_generic,パワフルバッジ：ゾンビ系の味方ユニットの攻撃力+1
ミイラおとこ,no_effect,
とげこんぼう,implemented_or_generic,召喚時：味方ヒーローがいる場合味方リーダーのテンション+2
メイデンドール,implemented_or_generic,召喚時：味方ヒーローがいる場合敵ユニット1体を-2/-2
ストーンビースト,implemented_or_generic,絶好調、このユニットが絶好調状態なら攻撃力+2とにおうだちを得る
タップデビル,implemented_or_generic,絶好調、死亡時：自分のデッキからコスト4の特技カードを1枚引く。このユニットが絶好調状態ならそのカードのコスト-1
まおうのランプ,implemented_or_generic,死亡時:自分の手札とデッキの魔王系ユニットカードのコスト−1
畏怖すべき王,implemented_or_generic,おうえん、味方リーダーのHPを5回復、全ての敵ユニットを封印する
忠義の騎士アドン,implemented_or_generic,このカードはピサロナイトとしても扱う。召喚時:他の味方のピサロナイトの数分+1/+1を得る。
オーガソルジャー,implemented_or_generic,召喚時：全てのピサロナイトにさくせんを出す
キッシム,implemented_or_generic,おうえん、死亡時：自分のデッキからコスト5以上の建物カードを1枚引く。そのカードのコスト-1
群れなすよるのていおう,implemented_or_generic,召喚時:群れなるよるのていおうを1体出す
鏡像のマネマネ,implemented_or_generic,速攻、れんけい：次の1回のみ味方リーダーのテンションスキルは敵リーダーと同じテンションスキルになる
トマトマーレ,implemented_or_generic,れんけい：攻撃力+1、このユニットはダメージを受けているユニットから戦闘ダメージを受けない
とうぞくこぞう,implemented_or_generic,召喚時：自分の手札から1枚選んで捨てる
かいぞくウーパー,implemented_or_generic,召喚時&手札から捨てた時：カードを1枚引く
強欲なミミック,implemented_or_generic,召喚時：GET(1)、BET:攻撃力+1、死亡時:このユニットの攻撃力が4以上ならレジェンドレアカードを手札に1枚加える
女盗賊ゲルダ,implemented_or_generic,ステルス、このユニットが攻撃した後カードを1枚引き手札を1枚選んで捨てる。レジェンドレアカードを捨てた場合 次の相手のターン中戦闘ダメージを受けない
サウルスロード,implemented_or_generic,選択：・特技ダメージ+1を得る ・武器ダメージ+1を得る
