pool,cost,name,status,risk,keywords,text,officialUrl
cost4_5_unit,4,メタルライダー,v240_added_or_reinforced,complex,死亡時|出す,死亡時：メタルボディ1/2メタルスライムをこのマスに出す,https://gameconductor.com/dqrivals/c/d/117
cost4_5_unit,4,コングヘッド,v240_added_or_reinforced,simple,,前後にいる味方ユニットの攻撃力+2,https://gameconductor.com/dqrivals/c/d/118
cost4_5_unit,4,バリクナジャ,v240_added_or_reinforced,complex,味方リーダー,このユニットの攻撃で敵ユニットを倒す度味方リーダーのテンション+1,https://gameconductor.com/dqrivals/c/d/119
cost4_5_unit,5,うごくせきぞう,remaining_for_next_pass,simple,,正面に敵ユニットが1体もいない場合攻撃できない,https://gameconductor.com/dqrivals/c/d/120
cost4_5_unit,5,エリミネーター,remaining_for_next_pass,simple,,前列にいる場合他の味方ユニットが死亡する度カードを1枚引く。,https://gameconductor.com/dqrivals/c/d/121
cost4_5_unit,5,マミー,v240_added_or_reinforced,complex,召喚時,召喚時：敵1体を次のターン攻撃不能にする,https://gameconductor.com/dqrivals/c/d/122
cost4_5_unit,5,ゴールドオーク,v240_added_or_reinforced,complex,召喚時|味方リーダー,召喚時：味方リーダーのテンションの2倍分味方リーダーのHPを回復,https://gameconductor.com/dqrivals/c/d/123
cost4_5_unit,5,バトルレックス,existing_trace,complex,攻撃時|武器|味方リーダー,攻撃時：このターン中味方リーダーの武器の攻撃力+2,https://gameconductor.com/dqrivals/c/d/124
cost4_5_unit,5,けがれの渦,v240_added_or_reinforced,complex,死亡時|毒,におうだち、死亡時：全てのユニットを毒にする,https://gameconductor.com/dqrivals/c/d/125
cost4_5_unit,5,さまようよろい,v240_added_or_reinforced,complex,召喚時|出す,召喚時：前列に召喚した場合ホイミスライムを後ろに出す,https://gameconductor.com/dqrivals/c/d/126
cost4_5_unit,4,ワイトキング,existing_trace,simple,,後列にいる場合前列にいるゾンビ系の味方ユニット全てを+1/+1,https://gameconductor.com/dqrivals/c/d/133
cost4_5_unit,4,キングスライム,remaining_for_next_pass,complex,テンションリンク|出す,テンションリンク：1/1のスライムを出す,https://gameconductor.com/dqrivals/c/d/134
cost4_5_unit,5,メタルキング,existing_trace,complex,テンションリンク|手札,速攻、メタルボディ、テンションリンク：自分の手札に戻る,https://gameconductor.com/dqrivals/c/d/135
cost4_5_unit,5,ギガンテス,existing_trace,complex,攻撃時,攻撃時：このターン中攻撃力+3,https://gameconductor.com/dqrivals/c/d/136
cost4_5_unit,4,ヒューザ,remaining_for_next_pass,complex,ターン終了|ランダム,自分のターン終了時他の味方ユニットが1体もいない場合ランダムな敵1体に自分の攻撃力と同じダメージを与える。,https://gameconductor.com/dqrivals/c/d/147
cost4_5_unit,4,ゴールデンスライム,v240_added_or_reinforced,simple,,メタルボディ、このターンの開始時このユニットを除く全てのユニットを死亡させる。 この効果は一度しか発動しない。,https://gameconductor.com/dqrivals/c/d/148
cost4_5_unit,4,カミュ,existing_trace,complex,召喚時|手札|武器|敵リーダー,召喚時：敵リーダーが装備中の武器を奪い自分の手札に加える。,https://gameconductor.com/dqrivals/c/d/149
cost4_5_unit,5,アンルシア,remaining_for_next_pass,complex,召喚時,召喚時：攻撃力5以上の敵ユニット1体を攻撃力0にする,https://gameconductor.com/dqrivals/c/d/150
cost4_5_unit,5,ラヴィエル,remaining_for_next_pass,complex,死亡時|手札,死亡時：対戦中に死亡したラヴィエル以外の味方の冒険者を1枚手札に加える,https://gameconductor.com/dqrivals/c/d/151
cost4_5_unit,5,フローラ,remaining_for_next_pass,complex,スキルリンク|手札,スキルリンク：ロドマンからの贈り物を自分の手札に加える,https://gameconductor.com/dqrivals/c/d/375
cost4_5_unit,5,デボラ,remaining_for_next_pass,complex,スキルリンク|手札,スキルリンク：自分の手札は全てレアリティが１つ上の別のカードに変わる,https://gameconductor.com/dqrivals/c/d/376
cost4_5_unit,5,ビアンカ,remaining_for_next_pass,complex,スキルリンク|敵リーダー,スキルリンク：敵リーダーに3ダメージ,https://gameconductor.com/dqrivals/c/d/377
cost4_5_unit,4,キラーピッケル,v240_added_or_reinforced,complex,召喚時|味方リーダー,召喚時：このターン中味方リーダーのテンションと同じだけユニット1体の攻撃力を上げる。,https://gameconductor.com/dqrivals/c/d/381
cost4_5_unit,4,バル&ベル,v240_added_or_reinforced,complex,ターン開始,自分のターン開始時ボル&ブルが自分の場にいる場合合体してバブルボブルになる。,https://gameconductor.com/dqrivals/c/d/400
cost4_5_unit,4,シルビア,remaining_for_next_pass,complex,召喚時,召喚時:お互いのリーダーのテンション+3,https://gameconductor.com/dqrivals/c/d/413
cost4_5_unit,4,メーダロード,remaining_for_next_pass,complex,特技|味方リーダー,相手が特技を使う度その効果が発動する前に味方リーダーのHPを3回復,https://gameconductor.com/dqrivals/c/d/418
cost4_5_unit,4,うみぼうず,remaining_for_next_pass,simple,,ステルス、スキルブースト:攻撃力+1,https://gameconductor.com/dqrivals/c/d/423
cost4_5_unit,4,ガーゴイル,remaining_for_next_pass,simple,,ねらい撃ち、おうえん,https://gameconductor.com/dqrivals/c/d/428
cost4_5_unit,5,くもの大王,v240_added_or_reinforced,complex,召喚時,召喚時：次のターン相手プレイヤーはテンションスキルを使用できない,https://gameconductor.com/dqrivals/c/d/453
cost4_5_unit,4,アルミラージ,basic_keyword_or_no_text,simple,,速攻,https://gameconductor.com/dqrivals/c/d/454
cost4_5_unit,4,かえんムカデ,v240_added_or_reinforced,complex,召喚時|地形,召喚時:地形マスに召喚された場合他の全てのユニットに2ダメージ,https://gameconductor.com/dqrivals/c/d/489
cost4_5_unit,4,若葉の精霊,v240_added_or_reinforced,complex,召喚時|地形,召喚時:地形マスに召喚された場合カードを1枚引く,https://gameconductor.com/dqrivals/c/d/490
cost4_5_unit,4,デスマエストロ,existing_trace,complex,召喚時,召喚時:このターン中攻撃力1以下の敵ユニット1体を味方にして速攻を付与する。,https://gameconductor.com/dqrivals/c/d/512
cost4_5_unit,5,デスプリースト,v240_added_or_reinforced,complex,召喚時|ランダム|コスト|地形|復活,召喚時:地形マスに召喚された場合コスト3以下のランダムな味方ユニット1体を復活させる。,https://gameconductor.com/dqrivals/c/d/513
cost4_5_unit,4,ずしおうまる,remaining_for_next_pass,complex,敵リーダー,敵リーダーのテンションが上がる度敵リーダーに3ダメージ,https://gameconductor.com/dqrivals/c/d/542
cost4_5_unit,5,デスタムーア,v240_added_or_reinforced,complex,敵リーダー,敵リーダーを無気力状態にする,https://gameconductor.com/dqrivals/c/d/543
cost4_5_unit,5,ヘルシーサー,v240_added_or_reinforced,complex,召喚時|地形,召喚時:地形マスにいる全ての味方ユニットを+1/+1,https://gameconductor.com/dqrivals/c/d/596
cost4_5_unit,4,ぶっちズキーニャ,v240_added_or_reinforced,complex,召喚時|地形,貫通、召喚時：自分の場にある地形の数分攻撃力+1,https://gameconductor.com/dqrivals/c/d/600
cost4_5_unit,4,コドラ,existing_trace,complex,召喚時|コスト,召喚時：このターン中次に使うドラゴン系のユニットカードのコスト-2,https://gameconductor.com/dqrivals/c/d/604
cost4_5_unit,4,カーディナルナイト,existing_trace,complex,召喚時|パワフルバッジ|ランダム|敵リーダー,召喚時：敵リーダーが持つパワフルバッジの効果をランダムで１つ消す,https://gameconductor.com/dqrivals/c/d/605
cost4_5_unit,4,オルゴ・デミーラ,remaining_for_next_pass,complex,死亡時|手札|変身,死亡時：オルゴ・デミーラは第2形態に変身して自分の手札に加わる,https://gameconductor.com/dqrivals/c/d/633
cost4_5_unit,4,ベビーゴイル,v240_added_or_reinforced,complex,召喚時|ランダム|コスト|特技,召喚時：お互いのデッキにランダムな2コストの特技カードを3枚加える,https://gameconductor.com/dqrivals/c/d/640
cost4_5_unit,5,スライムダーク,basic_keyword_or_no_text,none,,,https://gameconductor.com/dqrivals/c/d/641
cost4_5_unit,4,ハッスルじじい,v240_added_or_reinforced,complex,パワフルバッジ,パワフルバッジ：冒険者の味方ユニットを+1/+1,https://gameconductor.com/dqrivals/c/d/644
cost4_5_unit,4,エステラ,remaining_for_next_pass,complex,ターン開始,対戦中に死亡したドラゴン系の味方ユニットの数だけ攻撃力が上がる。 自分のターン開始時攻撃力が5以上なら竜化の術を使用する。,https://gameconductor.com/dqrivals/c/d/646
cost4_5_unit,5,ホーンビートル,basic_keyword_or_no_text,simple,,ねらい撃ち,https://gameconductor.com/dqrivals/c/d/762
cost4_5_unit,4,デザートゴースト,remaining_for_next_pass,complex,手札,におうだち、前列にいる場合自分がデッキからカードを手札に加える度+1/+1を得る。,https://gameconductor.com/dqrivals/c/d/790
cost4_5_unit,4,まほうじじい,remaining_for_next_pass,complex,コスト,味方ヒーローのヒーロースキルはコストが1下がる,https://gameconductor.com/dqrivals/c/d/791
cost4_5_unit,5,デスターキー,basic_keyword_or_no_text,none,,,https://gameconductor.com/dqrivals/c/d/792
cost4_5_unit,5,ミルドラース,v240_added_or_reinforced,complex,ターン開始|ランダム|場に出す|出す|コスト,自分のターン開始時自分のデッキからコスト5以下のランダムなユニット1体を場に出す,https://gameconductor.com/dqrivals/c/d/823
cost4_5_unit,4,デスニャーゴ,v240_added_or_reinforced,complex,死亡時|出す,死亡時:1/1のプリズニャンを1体出す。スキルブースト:+1体,https://gameconductor.com/dqrivals/c/d/824
cost4_5_unit,5,あんこくまどう,existing_trace,complex,召喚時|パワフルバッジ|ランダム|敵リーダー,におうだち、召喚時：敵リーダーが持つパワフルバッジの効果をランダムで２つ消す。その場合+1/+1を得る。,https://gameconductor.com/dqrivals/c/d/837
cost4_5_unit,4,プレミアムスライム,v240_added_or_reinforced,complex,ターン終了|味方リーダー,自分のターン終了時味方リーダーのテンション+1,https://gameconductor.com/dqrivals/c/d/859
cost4_5_unit,4,ムーンフェイス,v240_added_or_reinforced,complex,召喚時,召喚時：敵ヒーローのレベルを1下げる,https://gameconductor.com/dqrivals/c/d/864
cost4_5_unit,5,ドラゴンヘビー,remaining_for_next_pass,complex,手札|移動,におうだち、このユニットは移動せず手札に戻らない,https://gameconductor.com/dqrivals/c/d/893
cost4_5_unit,4,デスセイレス,v240_added_or_reinforced,complex,召喚時,召喚時：全ての味方ユニットを絶好調状態に戻す,https://gameconductor.com/dqrivals/c/d/918
cost4_5_unit,4,ヘルパイレーツ,v240_added_or_reinforced,complex,召喚時|手札|コスト,召喚時：自分のデッキと手札にある絶好調を持つカードのコスト-1,https://gameconductor.com/dqrivals/c/d/941
cost4_5_unit,5,ゆうれい,remaining_for_next_pass,simple,,シンクロ:①貫通、②2回攻撃、③ステルス,https://gameconductor.com/dqrivals/c/d/943
cost4_5_unit,4,ネクロマンサー,remaining_for_next_pass,simple,,全てのリーダーとユニットはHPを回復せずダメージを軽減しない,https://gameconductor.com/dqrivals/c/d/945
cost4_5_unit,5,スカイドラゴン,existing_trace,complex,味方リーダー,絶好調、絶好調状態な味方ユニットが攻撃する度味方リーダーのテンション+1,https://gameconductor.com/dqrivals/c/d/946
cost4_5_unit,5,ザンクローネ,remaining_for_next_pass,simple,,この対戦中に死亡した敵ユニットの数分攻撃力+1,https://gameconductor.com/dqrivals/c/d/947
cost4_5_unit,5,あくまのきし,existing_trace,complex,召喚時|ターン終了|手札,におうだち、召喚時：自分の手札に魔王系カードがあるなら敵1体を次のターン終了時まで行動不能にする,https://gameconductor.com/dqrivals/c/d/1012
cost4_5_unit,4,ビックアイ,v240_added_or_reinforced,complex,召喚時,召喚時：自分の場に冒険者がいるなら横一列にいる全ての敵ユニットに2ダメージ,https://gameconductor.com/dqrivals/c/d/1029
cost4_5_unit,4,グレイトボンバー,v240_added_or_reinforced,complex,死亡時,におうだち、死亡時：味方ヒーローがいるなら全てのユニットに2ダメージ,https://gameconductor.com/dqrivals/c/d/1073
cost4_5_unit,4,はめつの使者,v240_added_or_reinforced,complex,パワフルバッジ,パワフルバッジ：魔王系の味方ユニットを+1/+1,https://gameconductor.com/dqrivals/c/d/1075
cost4_5_unit,5,大切な友達,remaining_for_next_pass,complex,出す,指定の味方マスに速攻4/4のゲレゲレを1体出す,https://gameconductor.com/dqrivals/c/d/1111
cost4_5_unit,5,ゲレゲレ,basic_keyword_or_no_text,simple,,速攻,https://gameconductor.com/dqrivals/c/d/1118
cost4_5_unit,4,ゴールデントーテム,v240_added_or_reinforced,complex,GET,メタルボディ、このユニットがダメージを受ける度GET(1),https://gameconductor.com/dqrivals/c/d/1175
cost4_5_unit,4,デスケルト,v240_added_or_reinforced,complex,召喚時|手札,召喚時：味方ユニット1体を手札に戻す,https://gameconductor.com/dqrivals/c/d/1215
cost4_5_unit,4,ジラフマスター,existing_trace,complex,攻撃時|BET|GET|ランダム,攻撃時:GET(1)、BET:以下の効果からランダムに1つ発動する (1)攻撃力+1 (2)HP+1 (3)このターン中2回攻撃を得る,https://gameconductor.com/dqrivals/c/d/1216
cost4_5_unit,4,マデサゴーラ,existing_trace,complex,ターン終了|BET|手札,自分のターン終了時：スペシャルコイン1枚を手札に加える。BET:自分のデッキからBETを持つカードを1枚引く,https://gameconductor.com/dqrivals/c/d/1217
cost4_5_unit,5,スロットマジーン,v240_added_or_reinforced,complex,攻撃時|BET|GET,攻撃時:GET(1)、BET:両プレイヤーはカードを1枚引く,https://gameconductor.com/dqrivals/c/d/1218
cost4_5_unit,5,くらやみにゅうどう,v240_added_or_reinforced,complex,召喚時,召喚時:次の相手のターン中敵のヒーロースキルは使用できず発動もしない,https://gameconductor.com/dqrivals/c/d/1219
cost4_5_unit,5,かみさま,v240_added_or_reinforced,complex,ターン終了|ランダム|味方リーダー,自分のターン終了時以下の効果からランダムに1つ発動する(1)カードを2枚引く(2)味方リーダーのテンション+3(3)他のすべての味方のHPを4回復,https://gameconductor.com/dqrivals/c/d/1220
cost4_5_unit,4,コンガオンガ,existing_trace,complex,れんけい|ランダム|手札|コスト|消滅,れんけい：攻撃力が6以上の敵ユニット1体を消滅させる。そのユニットと同じ使用コストのランダムなユニットカード1枚を相手の手札に加える。,https://gameconductor.com/dqrivals/c/d/1239
cost4_5_unit,4,フェイスボール,existing_trace,complex,ターン終了|れんけい|味方リーダー,ステルス、れんけい：次の相手のターン終了時まで味方リーダーが受けるダメージ-2,https://gameconductor.com/dqrivals/c/d/1240
cost4_5_unit,5,慈愛のキラーパンサー,v240_added_or_reinforced,complex,召喚時|手札,おうえん、召喚時：おうえん 2/2のベビーパンサー1枚を手札に加える,https://gameconductor.com/dqrivals/c/d/1241
cost4_5_unit,4,みわくのランプ,existing_trace,complex,占い|ランダム|手札,自分が占いカードを使う度ランダムな占い師のカード1枚を手札に加える,https://gameconductor.com/dqrivals/c/d/1296
cost4_5_unit,4,ブラックベジター,v240_added_or_reinforced,complex,召喚時|建物,召喚時：味方建物があるなら他のすべてのユニットに2ダメージ,https://gameconductor.com/dqrivals/c/d/1336
cost4_5_unit,5,シュプリンガー,existing_trace,complex,れんけい|出す,れんけい：このユニットに2回さくせんを出す。,https://gameconductor.com/dqrivals/c/d/1337
cost4_5_unit,5,アデン,existing_trace,complex,召喚時|建物,におうだち、召喚時：味方建物１つの耐久値+1、そうした場合攻撃力+2を得る,https://gameconductor.com/dqrivals/c/d/1338
cost4_5_unit,4,りゅうはかせ,remaining_for_next_pass,complex,コスト|特技,自分が使用するコスト3以上の特技のダメージを+2する,https://gameconductor.com/dqrivals/c/d/1463
cost4_5_unit,4,じごくのばんけん,remaining_for_next_pass,complex,建物,2回攻撃、隣接している味方建物の数分攻撃力+1,https://gameconductor.com/dqrivals/c/d/1464
cost4_5_unit,4,バブルキング,v240_added_or_reinforced,complex,召喚時|出す|毒,召喚時：味方ユニット1体にさくせんを出す。このユニットが戦闘ダメージを与えたユニットを毒にする。,https://gameconductor.com/dqrivals/c/d/1465
cost4_5_unit,4,ヘルズクロウ,existing_trace,complex,召喚時|コスト,ねらい撃ち、召喚時：自分のデッキの上からカード4枚を見る。コスト1以下のカードを1枚選びそれを引く。残りをデッキの下に戻す。,https://gameconductor.com/dqrivals/c/d/1466
cost4_5_unit,4,アモス,remaining_for_next_pass,complex,ターン終了|変身,相手のターン終了時このユニットと同じHPを持つモンストラーに変身する,https://gameconductor.com/dqrivals/c/d/1467
cost4_5_unit,4,じごくのもんばん,v240_added_or_reinforced,complex,召喚時|移動,召喚時：敵ユニット1体をこのユニットの正面に移動させる,https://gameconductor.com/dqrivals/c/d/177
cost4_5_unit,4,さんぞくウルフ,v240_added_or_reinforced,complex,味方リーダー|敵リーダー,味方リーダーの攻撃で敵ユニットを倒す度敵リーダーに2ダメージ,https://gameconductor.com/dqrivals/c/d/178
cost4_5_unit,4,たてまじん,remaining_for_next_pass,complex,味方リーダー,前列にいる場合味方リーダーが受けるダメージ-1,https://gameconductor.com/dqrivals/c/d/184
cost4_5_unit,5,しにがみきぞく,v240_added_or_reinforced,complex,召喚時|味方リーダー,貫通、召喚時：味方リーダーのHPが15以下の場合速攻を得る,https://gameconductor.com/dqrivals/c/d/185
cost4_5_unit,5,ドラゴンソルジャー,existing_trace,complex,味方リーダー,対戦中に味方リーダーが攻撃した回数分攻撃力+1,https://gameconductor.com/dqrivals/c/d/187
cost4_5_unit,5,パパス,remaining_for_next_pass,complex,死亡時,死亡時：4/2のパパスの剣を装備する,https://gameconductor.com/dqrivals/c/d/192
cost4_5_unit,5,ボーンファイター,v240_added_or_reinforced,complex,召喚時|手札|コスト|武器,召喚時：自分のデッキと手札にある武器カードのコスト-1,https://gameconductor.com/dqrivals/c/d/396
cost4_5_unit,4,くびかりぞく,v240_added_or_reinforced,complex,味方リーダー,味方リーダーの攻撃で敵ユニットを倒す度味方リーダーのテンション+1,https://gameconductor.com/dqrivals/c/d/427
cost4_5_unit,5,オクトセントリー,v240_added_or_reinforced,complex,味方リーダー,貫通、味方リーダーの攻撃で敵ユニットを倒す度味方リーダーのHPを3回復,https://gameconductor.com/dqrivals/c/d/458
cost4_5_unit,4,グレイグ,remaining_for_next_pass,complex,召喚時,におうだち、召喚時：次の相手のターン中このユニットが受けつダメージは1になる。,https://gameconductor.com/dqrivals/c/d/475
cost4_5_unit,5,ネクロバルサ,v240_added_or_reinforced,complex,召喚時|武器|味方リーダー,召喚時:味方リーダーの攻撃力が4以上ある場合武器の耐久力を+2する。,https://gameconductor.com/dqrivals/c/d/506
cost4_5_unit,4,サタンメイル,remaining_for_next_pass,complex,召喚時|地形,召喚時:味方1マスの地形を刃の紋章に変える。 この効果で地形の上書きはできない。,https://gameconductor.com/dqrivals/c/d/550
cost4_5_unit,5,ヘルオーディン,v240_added_or_reinforced,complex,パワフルバッジ,におうだち、パワフルバッジ：ゾンビ系の味方ユニットは貫通を得る。,https://gameconductor.com/dqrivals/c/d/593
cost4_5_unit,4,ゾンビマスター,existing_trace,complex,召喚時|死亡時|手札,召喚時：ゾンビ系の味方ユニット1体に死亡時：このカードを手札に加えるを付与する,https://gameconductor.com/dqrivals/c/d/609
cost4_5_unit,4,ブルサベージ,remaining_for_next_pass,simple,,絶好調、絶好調状態のユニットが攻撃する度このユニットの攻撃力+2,https://gameconductor.com/dqrivals/c/d/950
cost4_5_unit,4,ヘルビースト,v240_added_or_reinforced,complex,召喚時|手札,におうだち、召喚時：自分の手札に魔王系のカードがあるなら+2/+2,https://gameconductor.com/dqrivals/c/d/1042
cost4_5_unit,5,ギュメイ将軍,existing_trace,simple,,貫通、このユニット以外の全ての敵味方は戦闘ダメージとデッキ切れによるダメージのみ受ける,https://gameconductor.com/dqrivals/c/d/1065
cost4_5_unit,5,ローズバトラー,remaining_for_next_pass,complex,毒|味方リーダー,味方リーダーへの敵の攻撃や効果の対象はこのユニットに変更される。ダメージを与えたユニットを毒にする,https://gameconductor.com/dqrivals/c/d/1177
cost4_5_unit,4,最後の砦の英雄グレイグ,existing_trace,complex,れんけい,におうだち、れんけい：正面にいる全ての敵ユニットに2ダメージ。敵ユニットが死亡する度攻撃力+1,https://gameconductor.com/dqrivals/c/d/1251
cost4_5_unit,5,キングムーチョ,v240_added_or_reinforced,complex,召喚時|武器|味方リーダー,におうだち、召喚時：味方ヒーローがいる場合味方リーダーが装備中の武器を+1/+1,https://gameconductor.com/dqrivals/c/d/1253
cost4_5_unit,4,修練のたてまじん,v240_added_or_reinforced,complex,召喚時|出す|武器|味方リーダー,におうだち、召喚時：味方リーダーが武器を装備している場合このユニットにさくせんを出す,https://gameconductor.com/dqrivals/c/d/1345
cost4_5_unit,4,ファラリスブル,v240_added_or_reinforced,complex,召喚時|武器|建物|味方リーダー,召喚時：味方リーダーが装備中の武器の耐久力+1、対戦中に味方建物が3つ以上出ていたら代わりに味方リーダーが装備中の武器を+1/+2,https://gameconductor.com/dqrivals/c/d/1346
cost4_5_unit,5,レッドサイクロン,v240_added_or_reinforced,complex,ターン終了|味方リーダー|敵リーダー,自分のターン終了時にお互いのリーダーに2ダメージ。味方リーダーのHPが15以下の場合代わりに自分のターン終了時敵リーダーに2ダメージ,https://gameconductor.com/dqrivals/c/d/1347
cost4_5_unit,5,ドランゴ,existing_trace,complex,ランダム|味方リーダー|敵リーダー,味方リーダーが攻撃した後ランダムな横一列にいる全ての敵ユニットと敵リーダーに2ダメージ。このユニットは冒険者としても扱う,https://gameconductor.com/dqrivals/c/d/1349
cost4_5_unit,4,突貫のしにがみきぞく,v240_added_or_reinforced,complex,味方リーダー,貫通、貫通を持つ他の全ての味方の攻撃力+1、味方リーダーのHPが15以下の場合、他の全ての味方ユニットは貫通を得る,https://gameconductor.com/dqrivals/c/d/1446
cost4_5_unit,4,りゅうせんし,existing_trace,complex,召喚時|味方リーダー|敵リーダー,召喚時：速攻と「このターン中敵リーダーを攻撃できない」を得る。このユニットの攻撃は味方リーダーの攻撃としても扱う,https://gameconductor.com/dqrivals/c/d/1486
cost4_5_unit,4,流浪のヒューザ,existing_trace,complex,召喚時|味方リーダー,召喚時：敵ユニット1体に1ダメージ。対戦中に味方リーダーが攻撃した回数分+1ダメージ,https://gameconductor.com/dqrivals/c/d/1487
cost4_5_unit,5,ゴールデンドラゴン,existing_trace,complex,味方リーダー,この対戦中に味方リーダーが攻撃した回数分HP+1,https://gameconductor.com/dqrivals/c/d/1488
cost4_5_unit,5,ローシュ,existing_trace,complex,れんけい|手札|山札|味方リーダー,貫通。味方リーダーが直接攻撃した後、自分のデッキから冒険者カードを1枚引く。れんけい：自分の山札、手札、場の冒険者カードに+1/+1。,https://gameconductor.com/dqrivals/c/d/1562
cost4_5_unit,4,メトロゴースト,v240_added_or_reinforced,complex,特技,対戦中に自分の使った特技カードの枚数分攻撃力+1,https://gameconductor.com/dqrivals/c/d/213
cost4_5_unit,4,ドルイド,v240_added_or_reinforced,complex,召喚時|特技,召喚時：対戦中に使った特技カード1枚を自分のデッキの一番上に置く。,https://gameconductor.com/dqrivals/c/d/214
cost4_5_unit,4,アイスボンバー,existing_trace,complex,召喚時,ねらい撃ち。召喚時：相手の場に氷塊があるなら+2/+2,https://gameconductor.com/dqrivals/c/d/215
cost4_5_unit,5,吹雪の魔女,v240_added_or_reinforced,complex,召喚時,召喚時：敵の場に氷塊があるなら敵ユニット1体に4ダメージ,https://gameconductor.com/dqrivals/c/d/221
cost4_5_unit,5,マリベル,remaining_for_next_pass,complex,召喚時|コスト|特技,召喚時：このターン中次に使う特技カードのコスト-7,https://gameconductor.com/dqrivals/c/d/223
cost4_5_unit,5,なげきの亡霊,remaining_for_next_pass,complex,テンションリンク|ランダム|手札|コスト|特技,テンションリンク：コスト2以下のランダムな魔法使いの特技カードを手札に1枚加える。,https://gameconductor.com/dqrivals/c/d/391
cost4_5_unit,5,ベロニカ,v240_added_or_reinforced,complex,召喚時|ランダム|手札|特技,召喚時：ランダムな魔法使いの特技カードを手札に1枚加える。、スキルブースト：+1枚,https://gameconductor.com/dqrivals/c/d/402
cost4_5_unit,4,樹氷の竜,existing_trace,complex,ターン終了|敵リーダー,自分のターン終了時、敵の場に氷塊があるなら敵リーダーに3ダメージ。,https://gameconductor.com/dqrivals/c/d/517
