id,name,cost,cardType,classes,tribes,deckBuildable,text,triggers,appNameOccurrences,genericCoverage,complexScore,risk,officialUrl,v250Status,v250Note,v252Status,v252Note,v253Status,v253Note,v254Status,v254Note,v255Status,v255Note,v256Status,v256Note
card_bbedc445,リリパット,1,ユニット,共通,なし,True,後列から攻撃する場合敵ユニットから反撃を受けない。,,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/90,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。
card_71a4559c,プチアーノン,1,ユニット,共通,なし,True,攻撃時：攻撃力+1,攻撃時,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/91,IMPLEMENTED_V250,v250個別実装: 攻撃時、攻撃力+1。,IMPLEMENTED_V250,v250個別実装: 攻撃時、攻撃力+1。,IMPLEMENTED_V250,v250個別実装: 攻撃時、攻撃力+1。,IMPLEMENTED_V250,v250個別実装: 攻撃時、攻撃力+1。,IMPLEMENTED_V250,v250個別実装: 攻撃時、攻撃力+1。,IMPLEMENTED_V250,v250個別実装: 攻撃時、攻撃力+1。
card_205cdb83,あばれこまいぬ,1,ユニット,共通,なし,True,召喚時：カードを1枚捨てる,召喚時,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/92,IMPLEMENTED_V250,v250個別実装: 召喚時、自分の手札をランダムに1枚捨てる。,IMPLEMENTED_V250,v250個別実装: 召喚時、自分の手札をランダムに1枚捨てる。,IMPLEMENTED_V250,v250個別実装: 召喚時、自分の手札をランダムに1枚捨てる。,IMPLEMENTED_V250,v250個別実装: 召喚時、自分の手札をランダムに1枚捨てる。,IMPLEMENTED_V250,v250個別実装: 召喚時、自分の手札をランダムに1枚捨てる。,IMPLEMENTED_V250,v250個別実装: 召喚時、自分の手札をランダムに1枚捨てる。
card_761099e5,バロンナイト,6,ユニット,共通,なし,True,同じ縦1列にいる他のユニットを+1/+1,,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/127,IMPLEMENTED_V250,v250個別実装: 同じ縦1列の他ユニットに継続+1/+1。,IMPLEMENTED_V250,v250個別実装: 同じ縦1列の他ユニットに継続+1/+1。,IMPLEMENTED_V250,v250個別実装: 同じ縦1列の他ユニットに継続+1/+1。,IMPLEMENTED_V250,v250個別実装: 同じ縦1列の他ユニットに継続+1/+1。,IMPLEMENTED_V250,v250個別実装: 同じ縦1列の他ユニットに継続+1/+1。,IMPLEMENTED_V250,v250個別実装: 同じ縦1列の他ユニットに継続+1/+1。
card_4354b98d,ブラックチャック,6,ユニット,共通,なし,True,味方リーダーのテンション分必要なコストが下がる,コスト,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/128,IMPLEMENTED_V250,v250個別実装: 手札コストを味方リーダーのテンション分軽減。,IMPLEMENTED_V250,v250個別実装: 手札コストを味方リーダーのテンション分軽減。,IMPLEMENTED_V250,v250個別実装: 手札コストを味方リーダーのテンション分軽減。,IMPLEMENTED_V250,v250個別実装: 手札コストを味方リーダーのテンション分軽減。,IMPLEMENTED_V250,v250個別実装: 手札コストを味方リーダーのテンション分軽減。,IMPLEMENTED_V250,v250個別実装: 手札コストを味方リーダーのテンション分軽減。
card_071c8ce4,ヘルゴースト,6,ユニット,共通,ゾンビ,True,後列から攻撃する場合敵ユニットから反撃を受けない,,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/129,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。,IMPLEMENTED_V250,v250個別実装: 後列から攻撃する場合、反撃を受けない。
card_8878b609,バーサーカー,6,ユニット,共通,なし,True,前列の中央にいる場合攻撃力+7,,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/131,IMPLEMENTED_V250,v250個別実装: 前列中央にいる場合、継続で攻撃力+7。,IMPLEMENTED_V250,v250個別実装: 前列中央にいる場合、継続で攻撃力+7。,IMPLEMENTED_V250,v250個別実装: 前列中央にいる場合、継続で攻撃力+7。,IMPLEMENTED_V250,v250個別実装: 前列中央にいる場合、継続で攻撃力+7。,IMPLEMENTED_V250,v250個別実装: 前列中央にいる場合、継続で攻撃力+7。,IMPLEMENTED_V250,v250個別実装: 前列中央にいる場合、継続で攻撃力+7。
card_f15d10ad,じごくのつかい,6,ユニット,共通,なし,True,自分のターン終了時ランダムな敵1体に3ダメージ,自分のターン終了時|ダメージ|ランダム,0,,1,HIGH_COMPLEX_NO_EXPLICIT_NAME,https://gameconductor.com/dqrivals/c/d/138,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に3ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に3ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に3ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に3ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に3ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に3ダメージ。
card_888c9f47,トロルキング,7,ユニット,共通,なし,True,すべてのユニットは受けるダメージが2倍になる。,ダメージ,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/141,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、全ユニットが受けるダメージを2倍化。公式DB URLつきキューから確認。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、全ユニットが受けるダメージを2倍化。公式DB URLつきキューから確認。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、全ユニットが受けるダメージを2倍化。公式DB URLつきキューから確認。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、全ユニットが受けるダメージを2倍化。公式DB URLつきキューから確認。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、全ユニットが受けるダメージを2倍化。公式DB URLつきキューから確認。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、全ユニットが受けるダメージを2倍化。公式DB URLつきキューから確認。
card_d9eaae6c,バラモスゾンビ,9,ユニット,共通,ゾンビ,True,対戦中に死亡したゾンビ系の味方ユニットの数だけ攻撃力が上がる。,,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/143,IMPLEMENTED_V250,v250個別実装: 召喚時、対戦中に死亡した味方ゾンビ系数だけ攻撃力上昇。,IMPLEMENTED_V250,v250個別実装: 召喚時、対戦中に死亡した味方ゾンビ系数だけ攻撃力上昇。,IMPLEMENTED_V250,v250個別実装: 召喚時、対戦中に死亡した味方ゾンビ系数だけ攻撃力上昇。,IMPLEMENTED_V250,v250個別実装: 召喚時、対戦中に死亡した味方ゾンビ系数だけ攻撃力上昇。,IMPLEMENTED_V250,v250個別実装: 召喚時、対戦中に死亡した味方ゾンビ系数だけ攻撃力上昇。,IMPLEMENTED_V250,v250個別実装: 召喚時、対戦中に死亡した味方ゾンビ系数だけ攻撃力上昇。
card_22190279,シドー,9,ユニット,共通,魔王,True,召喚時：このユニットを除く全てのユニットに4ダメージ,召喚時|ダメージ,0,,2,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/162,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、このユニットを除く全てのユニットに4ダメージ。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、このユニットを除く全てのユニットに4ダメージ。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、このユニットを除く全てのユニットに4ダメージ。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、このユニットを除く全てのユニットに4ダメージ。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、このユニットを除く全てのユニットに4ダメージ。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、このユニットを除く全てのユニットに4ダメージ。
card_76df765d,くみひもこぞう,1,ユニット,共通,なし,True,スキルブースト：攻撃力+1,,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/388,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: スキルブースト分、攻撃力+1を常在補正で反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: スキルブースト分、攻撃力+1を常在補正で反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: スキルブースト分、攻撃力+1を常在補正で反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: スキルブースト分、攻撃力+1を常在補正で反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: スキルブースト分、攻撃力+1を常在補正で反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: スキルブースト分、攻撃力+1を常在補正で反映。
card_8b06f040,メガトンケイル,12,ユニット,共通,なし,True,スキルブースト：コスト-2,コスト,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/403,IMPLEMENTED_OR_CONFIRMED_V251,既存汎用確認: getEffectiveCost が「スキルブースト：コスト-2」を本文から処理。,IMPLEMENTED_OR_CONFIRMED_V251,既存汎用確認: getEffectiveCost が「スキルブースト：コスト-2」を本文から処理。,IMPLEMENTED_OR_CONFIRMED_V251,既存汎用確認: getEffectiveCost が「スキルブースト：コスト-2」を本文から処理。,IMPLEMENTED_OR_CONFIRMED_V251,既存汎用確認: getEffectiveCost が「スキルブースト：コスト-2」を本文から処理。,IMPLEMENTED_OR_CONFIRMED_V251,既存汎用確認: getEffectiveCost が「スキルブースト：コスト-2」を本文から処理。,IMPLEMENTED_OR_CONFIRMED_V251,既存汎用確認: getEffectiveCost が「スキルブースト：コスト-2」を本文から処理。
card_3b082637,モコッキー,1,ユニット,共通,なし,True,自分のターン終了時このユニットのHPを1回復,自分のターン終了時|回復,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/425,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを1回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを1回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを1回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを1回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを1回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを1回復。
card_4114f12b,ニードルマン,1,ユニット,共通,なし,True,攻撃時：相手はカードを1枚引く,攻撃時|カードを1枚引く,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/473,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃時、相手がカードを1枚引く。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃時、相手がカードを1枚引く。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃時、相手がカードを1枚引く。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃時、相手がカードを1枚引く。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃時、相手がカードを1枚引く。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃時、相手がカードを1枚引く。
card_a515a629,ビーンファイター,1,ユニット,共通,なし,True,死亡時:相手リーダーのテンション-1,死亡時,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/474,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 死亡時、相手リーダーのテンション-1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 死亡時、相手リーダーのテンション-1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 死亡時、相手リーダーのテンション-1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 死亡時、相手リーダーのテンション-1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 死亡時、相手リーダーのテンション-1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 死亡時、相手リーダーのテンション-1。
card_7cf29b7b,おおさそり,1,ユニット,共通,なし,True,召喚時:地形マスに召喚された場合+1/+2,召喚時,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/486,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 地形マス召喚時、+1/+2。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 地形マス召喚時、+1/+2。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 地形マス召喚時、+1/+2。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 地形マス召喚時、+1/+2。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 地形マス召喚時、+1/+2。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 地形マス召喚時、+1/+2。
card_c21c039d,アントベア,1,ユニット,共通,なし,True,召喚時:味方リーダーのテンションを1消費する。 消費した後+1/+1を得る。,召喚時,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/487,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、味方テンションを1消費できた場合+1/+1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、味方テンションを1消費できた場合+1/+1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、味方テンションを1消費できた場合+1/+1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、味方テンションを1消費できた場合+1/+1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、味方テンションを1消費できた場合+1/+1。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 召喚時、味方テンションを1消費できた場合+1/+1。
card_c2b05edb,ヌボーン,1,ユニット,共通,なし,True,このユニットは攻撃できない,,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/507,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃不可を常在的に反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃不可を常在的に反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃不可を常在的に反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃不可を常在的に反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃不可を常在的に反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 攻撃不可を常在的に反映。
card_768eea71,まかいじゅ,6,ユニット,共通,なし,True,自分のターン終了時このユニットのHPを2回復する。,自分のターン終了時|回復,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/514,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを2回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを2回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを2回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを2回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを2回復。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 自分のターン終了時、自身のHPを2回復。
card_ce996bc9,ファンキーバード,6,ユニット,共通,なし,True,おうえん、味方リーダーのテンションカードはコストが0になる。,コスト,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/544,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、テンションカードのコスト0を反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、テンションカードのコスト0を反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、テンションカードのコスト0を反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、テンションカードのコスト0を反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、テンションカードのコスト0を反映。,IMPLEMENTED_OR_CONFIRMED_V251,v251個別実装: 場にいる間、テンションカードのコスト0を反映。
